City,State,Latitude,Longitude
San Francisco,California,37.7749295,-122.4194155
Aliso Viejo,California,33.5676842,-117.7256083
Rapid City,South Dakota,44.0805434,-103.2310149
Coon Rapids,Minnesota,45.1732394,-93.3030063
Malden,Massachusetts,42.4250964,-71.066163
Noblesville,Indiana,40.0455917,-86.0085955
Delray Beach,Florida,26.4614625,-80.0728201
Wellington,Florida,26.6617635,-80.2683571
Florissant,Missouri,38.789217,-90.322614
Youngstown,Ohio,41.0997803,-80.6495194
Newport Beach,California,33.6189101,-117.9289469
Bloomington,Illinois,40.4842027,-88.9936873
Menifee,California,33.6971468,-117.185294
Lynchburg,Virginia,37.4137536,-79.1422464
Loveland,Colorado,40.3977612,-105.0749801
St. Joseph,Missouri,39.7674578,-94.846681
